Report_ID,Department,Doc_Type,Date,Program,Key_Detail
RPT_011,"/2403-1 352 Sheriff Marty Boyd mboyd@ tigheadso May 29, 2015 To Whom It May Concern As of the 29"" day of May 2015, the Craighead County Sheriff's Office has implemented a policy of the operation and training of the MRAP vehicle obtained through the LESO/1033 program. The purpose of this vehicle is to be utilized by the Craighead County Special Weapons and Tactics team for the protection of officers during high risk operations for the safety of such officers from potential gunfire while in the performance of their duties. Additional uses of this vehicle will be to assist the citizens of Craighead County during natural disasters events to navigate through extreme terrain or drive over damaged areas to assist citizens affected by such disasters. The policy also has guidelines for the operation and maintenance of the vehicle. It states that no officer will be allowed to operate the vehicle without such training. The training at this time is conducted by a trained deputy with this department who has received training in the use and operation by Smith Integrated Technology M.R.A.P. Logistical Sustainment Group. All training curriculum used in training is derived from the Center for Army Lessons Learned published by Maneuver Center of Excellence at Fort Benning, titled MRAP Observations, Insight, and Lessons and BAE Systems MRAP Instructor Guide. This training will consist of the following: e Overview of the vehicle to include its capabilities and limitations e Characteristics of the vehicle so the operators will have knowledge of its size and weight. e Basic maintenance e Safe operating speed @ Movement and maneuvers e Ground guiding techniques for safe operation in small areas due to limited visibility e Operations on slopes e Restricted terrain Rough terrain driving e Vehicle tip and rollover e Steering and proper maneuvering",1033 Training Proposal,2015-05-29,MRAP Operations,"/2403-1 352 Sheriff Marty Boyd mboyd@ tigheadso May 29, 2015 To Whom It May Concern As of the 29"" day of May 2015, the C..."
RPT_012,"e Falls, smashed and pinched extremities Rollover/egress procedures e Risks and contact with high voltage power lines These items will include classroom portions and a hands on / driver training portion. Capt. Justin Rolland, Asst. Chief Deputy Craighead County Sheriff's Office",Police Document,Unknown,General Law Enforcement,"e Falls, smashed and pinched extremities Rollover/egress procedures e Risks and contact with high voltage power lines Th..."
RPT_013,"Whom it may Concern From: Craighead County Sheriff's Office Date: 29 May 2015 Ref: MRAP The following documentation is intended to document to intended use and training of the Mine Resistatant Ambush Protection Vehicle, which was allocated to the Craighead County Sheriff's office, by the United States Government. The Craighead County Sheriff's Office recognizes this vehicle is the Property of the United Stated government and assigned to this agency, if and when this agency no longer has a need for this vehicle it shall be transferred to another LEA, or returned to the United Stated government. Respectfully, Deputy Randy Sharp Craighead County Sheriff's Office Training Officer LESO Liaison",1033 Training Proposal,2015-05-29,MRAP Operations,To: Whom it may Concern From: Craighead County Sheriff's Office Date: 29 May 2015 Ref: MRAP The following documentation ...
RPT_014,"Crawford County Sheriffs Department P.O, Box 276+ 409 Main Street Van Buren, Arkansas 72956 Tel, (479) 474-2581 Fax (479) 471-3264 Jim Damante Ron Br own Captain Shawn Firestine Chief Deputy : Sheriff oe Captain Brandon Trent To: Program Manager , 1033 Program : Law Enforcement Support Office (LESO) 11 June 2015 DLA Disposition Services 74 Washington Avenue North Battle Creek , M1 49037 Subj: Armored Vehicle (MRAP) y Jurisdiction size including MOU s with surrounding counties is approximately 2729 Square miles. We have MOU s with Sebastian , Franklin , and Washington: counties in Ar.And Sequoyah in Ok . Also with Arkansas State Police . 2. Our county population is 66,000 . Total with MOU s is 418, 710. 3. Our department has 32 full time depution -Our SRT (SWAT) team has 13 members when all slots are filled. 4, We will be using the vehicle for Swat, barricade on hostage rescue, active shooter, natural disasters rescue, High profile Felony warrants , 5. We would like to request (1) MRAP Maxx Pro . . 6. Vehicle will also be used in serving warrants with DEA, We currently have one Deputy working with DEA full time. When 1-49 is completed , this will be a major North-South East-West intersection where large amounts of drug trafficking will be coming through . We have 25 miles of I-40 and 20 miles of I-49 as well as State Hwys 59 and 71going all the way through the county North and South, 7. We currently have no armored vehicles . 8. The vehicle will be kept behind secured and locked fencing with monitored video surveillance or inside locked building with video surveillance and monitored security system. 9. We have the resources to maintain and repair the vehicle through a yearly budget for repair, maintenance, fuel, and oil for a fleet of approximately 50 vehicles. 10. Crawford County has the 2"" largest criminal docket in the state behind Pulaski County .We have also had a shooting in our courthouse in Sept. 2011. 11, We have a HIDTA directly to the north of us (Washington County) and one directly to the west of us (Sequoyah County) both of which have the major Interstates running through them as we do, 12. Cpl. Monty McMillan, CLEET instructor from the Fort Smith Police Department, will provide MRAP Vehicle Operations Training approved by CLEET Standards. This training is directly from CALL (Center for Army Lessons Learned) MRAP handbook. Cp] McMillen will complete this training as soon as possible, after obtaining vehicle. Tez kb lblher. Ron Brown Rick Dahlem (POC for Tactical Vehicle) Sheriff Deputy Crawford County Sheriff's Office Crawford County Sheriff's Office",1033 Training Proposal,2015-06-11,MRAP Operations,"Monty McMillan, CLEET instructor from the Fort Smith Police Department, will provide MRAP Vehicle Operations Training ap..."
RPT_015,"Whom it may Concern From: Crawford County Sheriff's Office Date: January 27, 2015 Ref: MRAP The following documentation is intended to document the intended use and training of the Mine Resistant Ambush Protection Vehicle, which was allocated to the Crawford County Sheriff's Office, by the United States Government. The Crawford County Sheriff's Office recognizes this vehicle is the Property of the United Stated government and assigned to this agency, if and when this agency no longer has a need for this vehicle it shall be transferred to another LEA, or returned to the United Stated government. Respectfully, Deputy Rick Dahlem Swat Coordinator LESO Liaison COURSE: LESSON TITLE:",Lesson Plan,2015-01-27,MRAP Operations,"To: Whom it may Concern From: Crawford County Sheriff's Office Date: January 27, 2015 Ref: MRAP The following documentat..."
RPT_016,"Whom it may Concern From: Fort Smith Police Department Date: January 19, 2015 Ref: MRAP The following documentation is intended to document the intended use and training of the Mine Resistatant Ambush Protection Vehicle, which was allocated to the Fort Smith Police Department, by the United States Government. The Fort Smith Police Department recognizes this vehicle is the Property of the United Stated government and assigned to this agency, if and when this agency no longer has a need for this vehicle it shall be transferred to another LEA, or returned to the United Stated government. Respectfully, Cpl. Monty McMillen Fort Smith Police Department Swat Coordinator/Training Officer LESO Liaison",1033 Training Proposal,2015-01-19,MRAP Operations,"To: Whom it may Concern From: Fort Smith Police Department Date: January 19, 2015 Ref: MRAP The following documentation ..."
RPT_017,"COURSE: LESSON TITLE: CLEET Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations DURATION: TRAINING LEVEL: PREPARED BY: Cpl Monty McMillen 5.0 Hours Swat Team Operators CLEET Instructor Number of Trainees: 16 Date: June 30th, 2014 METHOD OF PRESENTATION: INSTRUCTOR: CLEET Instructor Lecture, Questions & Answers, Visual Presentation APPROVED BY: CLEET Standards Division LEARNING GOAL: The student will become familiar with the basic Operations of the Mine Resistant Ambush Protection Vehicle (MRAP). PERFORMANCE OBJECTIVES: 1. The student will be able to identify the Power Plant and transmission, as presented by the Instructor. 2. The student shall be able to identify the control panel and identify all gauges and lights, as well as, switches, as presented by the Instructor. 3. The student shall be able to identify the routine maintenance required, as presented by the Instructor. 4. The student shall be familiar with the passenger capacity, as well as, load weights, as presented by the Instructor. 5. The student shall be familiar with the Vehicle Operations, as presented by the Instructor. 6. The student shall be familiar with vehicle recovery operations, as presented by the Instructor. 7. The student shall demonstrate proper driving techniques for both highway and off road operations. 8. The student shall demonstrate proper evacuation techniques in case of an accident or other emergency situation. ( completed EGRIS training at FCMTC MRAP roll over simulator) TRAINING AIDS REQUIRED: 1. A/V projector 2. MRAP Training was completed at the FCMTC. Students also received instruction from a retired US Army Master Driver, as well as some additional vehicle maintenance training with current FCMTC Maintenance personnel. Fort Smith Police Department Mine Resistant Ambush Protection Vehicle Primary Purpose: Special Response and Tactics / Operations Search and Rescue",Lesson Plan,Unknown,MRAP Operations,COURSE: LESSON TITLE: CLEET Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations DURATION: TR...
RPT_018,Hot Springs Police Department S.W.A.T. Training Cover Sheet Subject: MRAP Operations Duration of Class: 8 hours Level of Instruction: Basic Target Group: Hot Springs Police Department S.W.A.T. Team Course Prepared by: Ofc. Eric Wacaster Revisions: N/A Date of Instruction: 5/5/15 Location: Hot Springs Airport. 1,Police Document,Unknown,MRAP Operations,Training Cover Sheet Subject: MRAP Operations Duration of Class: 8 hours Level of Instruction: Basic Target Group: Hot S...
RPT_019,"Hot Springs Police Department S.W.A.T. Training Course Summary Sheet Course Title: MRAP Operations Purpose of the Course: To familiarize Hot Springs Police Department SWAT Operators with basic MRAP functions, preventative maintenance, and driving operations of the MRAP. Objectives: At the end of the block of instruction the students will be able to successfully: 1. Identify the Power Plant and transmission, as presented by the Instructor. 2. Identify the control panel and identify all gauges and lights, as well as, switches, as presented by the Instructor. 3. Identify the routine maintenance required, as presented by the Instructor. 4. Demonstrate familiarity with the passenger capacity, as well as load weights, as presented by the Instructor. 5. Demonstrate familiarity with the Vehicle Operations, as presented by the Instructor. 6. Demonstrate familiarity with vehicle recovery operations, as presented by the Instructor. Certification: Eric Wacaster is a police officer and SWAT Team member with the Hot Springs Police Department. He is a certified police and firearms instructor through the Commission on Law Enforcement Standards. He is also a certified Force on Force instructor through General Dynamics. Ofc. Zac Rostan will assist with instruction. Ofc. Rostan is a police officer and SWAT team member with Hot Springs Police Department as well as a staff sergeant in the United States Army Reserve. Ofc. Rostan is a veteran of multiple overseas deployments where he has operated MRAPs in theater. He has also trained multiple other soldiers in the use and operation of MRAPs. 2",Police Document,Unknown,MRAP Operations,Training Course Summary Sheet Course Title: MRAP Operations Purpose of the Course: To familiarize Hot Springs Police Dep...
RPT_020,"Hot Springs Police Department S.W.A.T. Training Course Outline I. Introduction A. General vehicle familiarization and identification 1. Power Plant 2. Transmission 3. Control Panel 4. Lights, switches, and gauges II. Body A. Routine and Preventative Maintenance B. Passenger Capacity and Load Limits C. Vehicle Operations 1. Start up and Shut Down Procedure 2. Driving and Vehicle Clearances 3. Parking 4. Vehicle Recovery III. Conclusion A. Operators will correctly demonstrate all objectives back to the instructor 3",Police Document,Unknown,General Law Enforcement,General vehicle familiarization and identification 1
RPT_021,"STEVE JEFFERY P.O. Box 4236 Tel: 870-793-8838 Sheriff Batesville, Arkansas 72503 Fax: 870-612-6849 eee OE OL EGON 05/21/2015 To: | Whom it May Concern Re: MRAP Vehicle To Whom it May Concern, This letter is to inform you that the Independence County Sheriff's Office has implemented policy for the operation and training of the MRAP vehicle obtained through the LESO/1033 program. The purpose of this vehicle is to be used by the Independence County Sheriff's Office for the protection of officers from potential gunfire during high risk operations and to assist the citizens of Independence County during natural disaster events to navigate through extreme terrain or drive over damaged areas to assist citizens. Only officers who are trained in the operation of the MRAP will be allowed to operate it. Those who are authorized to operate the MRAP vehicle at this time are former United States Military members who have past training and actual field experience driving an MRAP vehicle. Those Officers are: Deputy Johnny Byler Deputy Andrew Rogers During the month of June 2015, other officers will be receiving instruction and training on the operation of the MRAP vehicle, to include topics covered in training material produced by the Center for Army Lessons Learned. The Independence County Sheriff's Office recognizes that the this vehicle is property of the United States Government and assigned to this agency. If and when this agency no longer has a need for this vehicle it shall be transferred back to another LEA, or returned to the United States Government. dG Y J Aa Steve Jeffery Sheriff",1033 Training Proposal,2015-05-21,MRAP Operations,"Box 4236 Tel: 870-793-8838 Sheriff Batesville, Arkansas 72503 Fax: 870-612-6849 eee OE OL EGON 05/21/2015 To: | Whom it ..."
RPT_022,"Whom it may Concern From: Lt. Brett Hibbs Date: January 14, 2015 Ref: MRAP The following documentation is intended to document to intended use and training of the Mine Resistatant Ambush Protection Vehicle, which was allocated to the Jacksonville AR Police Department, by the United States Government. The Jacksonville Police Department recognizes this vehicle is the Property of the United Stated government and assigned to this agency, if and when this agency no longer has a need for this vehicle it shall be transferred to another LEA, or returned to the United Stated government. Respectfully, Lt. Brett Hibbs Jacksonville Police Department AR Special Response Team Commander",Police Document,2015-01-14,MRAP Operations,"Brett Hibbs Date: January 14, 2015 Ref: MRAP The following documentation is intended to document to intended use and tra..."
RPT_023,The Jefferson County Sheriff s Office,Standard Operating Procedure,2015-01-13,MRAP Operations,"Mine Resistant Ambush Protected (MRAP) Vehicle Standard Operating Procedure (SOP) Effective Date: January 13, 2015 Revis..."
RPT_024,"LITTLE ROCK POLICE DEPARTMENT DIVISIONAL OPERATING PROCEDURE AVIATION UNIT DISTRIBUTION: REPLACES: NUMBER: DIVISIONAL NEW 5600-12 DATE: 04/26/2012 I. Purpose A. B. Cc. Dz. The magnitude of demands for police service increases as today s society becomes more mobile and affluent. It becomes more evident that rapid mobility, providing swiftness of response, in all areas of police service is essential. The growing complexity of police work has resulted in an increase in specialization and some modification in the previously accepted concept of patrol duties. The successful implementation of the preventative patrol concept requires adaptation of new techniques to our patrol efforts. The objectives of the program are directly related to the insertion of helicopters into the patrol function. The following examples serve to emphasize the desired objective: 1. Supporting and coordinating patrols and the protection of life and property; 2. Traffic control and surveillance; 3. Crime prevention; 4. Criminal surveillance; 5. Search and rescue; 6. Special surveillance details; 7. Apprehension of offenders; and, 8. Cover for ground elements. The above examples of objectives to be accomplished have one factor in common. Cooperation between ground units and aircraft is essential. The capabilities of the patrol car and aircraft can do much to achieve these goals only when they are used in a coordinated effort to support each other. It is evident, therefore, that the success of this program requires the active support of every member of our Department. Accountability - The Aviation Unit is supervised by the Aviation Unit Sergeant, The Aviation Unit Sergeant is also the Special Events Coordinator who is directly responsible to the Aviation Unit Lieutenant, who is the Special Units Commander. The Aviation Unit Lieutenant is directly responsible to the Headquarters Division Commander. Headquarters Division 5600-12-1 Divisional Operating Procedure",Police Document,2012-04-26,Aviation Unit,LITTLE ROCK POLICE DEPARTMENT DIVISIONAL OPERATING PROCEDURE AVIATION UNIT DISTRIBUTION: REPLACES: NUMBER: DIVISIONAL NE...
RPT_025,"Il. Responsibility A. 10. ll. 12. Headquarters Division The Aviation Unit observers are supervised by the Aviation Unit Sergeant. The Aviation Unit Sergeant will be available as needed on a part-time basis unless special mission assignment details his/her additional presence. The Aviation Unit s hours of assignment will be varied according to the needs of the Department. In the event that an observer or alternate is not available for duty for any reason, the Aviation Unit Sergeant will amend his/her hours to man the shift. Aviation Unit Sergeant Responsibilities Be familiar with and obey all General Orders, Directives, and Rules and Regulations of the Little Rock Police Department, Coordinate and formulate plans for the operation of the Unit s aircraft and related activity; Keep the Aviation Unit Lieutenant informed of all operational phases of the Aviation Unit; Acquaint all personnel under his supervision with such orders, directives, and policies requiring compliance; Be aware of the training needs of the members of the Unit and ensure that the necessary training is provided; Closely evaluate personnel assigned to the Unit during their training, in accordance with existing procedures; Assume the responsibility for the supervision of all assigned duties to ensure the efficient and proper performance of such duties; Develop and implement a public relations program that will tend to achieve public acceptance and approval of the Departmental use of the aircraft; Ensure that required reports are properly submitted by himself and members of the Aviation Unit; Establish and maintain an effective relationship with the FAA; Assist in the formulation of plans for the operation of the Aviation Unit; Maintain schedules and supervise activity of the part-time observers, pilots and mechanic assigned to the Unit. 5600-12-2 Divisional Operating Procedure",Police Document,Unknown,Aviation Unit,"Aviation Unit Sergeant Responsibilities Be familiar with and obey all General Orders, Directives, and Rules and Regulati..."
